"","STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","PITCH","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","UPDATED","DATABASE_HISTORY"
"1","01-0002","01-0002",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.35,8.12,1.1,0.57,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.36,8.16,336578.1,4169700.64,3061.89,"","","","Alex Chacon","Aspen Ward","Joseph Cooper","","","2015-12-14",""
"2","01-0002","01-0002",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.35,8.12,1.1,0.59,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.36,8.16,336578.1,4169700.64,3061.89,"","","","Soren Struckman","","","","","2020-11-02",""
"3","01-0003","01-0003",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.33,8.16,2.5,0.96,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.34,8.2,336578.08,4169700.68,3061.89,"","","","Alex Chacon","Aspen Ward","Joseph Cooper","","","2015-12-14",""
"4","01-0003","01-0003",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.33,8.16,2.7,1.16,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.34,8.2,336578.08,4169700.68,3061.89,"","","","Soren Struckman","","","","","2020-11-02",""
"5","01-0006","01-0006",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.47,10.36,1.7,0.82,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","N",11.48,10.4,336578.22,4169702.88,3060.19,"DX.DY in 2018","","","Alex Chacon","Aspen Ward","Joseph Cooper","","","2015-12-14",""
"6","01-0006","01-0006",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.47,10.36,2,0.99,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","N",11.48,10.4,336578.22,4169702.88,3060.19,"DX.DY in 2018","","","Soren Struckman","","","","","2020-11-02",""
"7","01-0201","01-0201",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.93,15.84,0.4,0.14,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.01,16.47,336596.68,4169708.36,3057.9,"","","","Joseph Cooper","Alex Chacon","Aspen Ward","","","2015-12-14",""
"8","01-0201","01-0201",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.93,15.84,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.01,16.47,336596.68,4169708.36,3057.9,"","","","Caroline Kittle","","","","","2020-11-02",""
"9","01-0202","01-0202",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.32,9.2,1.1,0.37,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.58,9.75,336596.07,4169701.72,3057.03,"","","","Joseph Cooper","Alex Chacon","Aspen Ward","","","2015-12-14",""
"10","01-0202","01-0202",6,"2020-08-05","H31","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,19.32,9.2,1.3,0.39,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.58,9.75,336596.07,4169701.72,3057.03,"","","","Caroline Kittle","","","","","2020-11-02",""
