QUADRAT,SW_POINT,SW_UTM_X,SW_UTM_Y,NW_POINT,NW_UTM_X,NW_UTM_Y,NE_POINT,NE_UTM_X,NE_UTM_Y,SE_POINT,SE_UTM_X,SE_UTM_Y
924,924,336436.68,4169535.78,A24,336436.52,4169555.75,A25,336456.6,4169555.3,925,336456.69,4169535.32
925,925,336456.69,4169535.32,A25,336456.6,4169555.3,A26,336476.73,4169554.8,926,336476.68,4169534.85
926,926,336476.68,4169534.85,A26,336476.73,4169554.8,A27,336496.61,4169554.29,927,336496.61,4169534.29
A21,A21,336376.62,4169557.19,B21,336376.67,4169577.19,B22,336396.62,4169576.71,A22,336396.58,4169556.71
A22,A22,336396.58,4169556.71,B22,336396.62,4169576.71,B23,336416.68,4169576.31,A23,336416.47,4169556.09
A23,A23,336416.47,4169556.09,B23,336416.68,4169576.31,B24,336436.61,4169575.79,A24,336436.52,4169555.75
A24,A24,336436.52,4169555.75,B24,336436.61,4169575.79,B25,336456.57,4169575.29,A25,336456.6,4169555.3
A25,A25,336456.6,4169555.3,B25,336456.57,4169575.29,B26,336476.72,4169574.78,A26,336476.73,4169554.8
A26,A26,336476.73,4169554.8,B26,336476.72,4169574.78,B27,336496.75,4169574.35,A27,336496.61,4169554.29
A27,A27,336496.61,4169554.29,B27,336496.75,4169574.35,B28,336516.75,4169576.89,A28,336516.75,4169556.89
B21,B21,336376.67,4169577.19,C21,336376.68,4169597.27,C22,336396.64,4169596.69,B22,336396.62,4169576.71
B22,B22,336396.62,4169576.71,C22,336396.64,4169596.69,C23,336416.55,4169596.22,B23,336416.68,4169576.31
B23,B23,336416.68,4169576.31,C23,336416.55,4169596.22,C24,336436.65,4169595.77,B24,336436.61,4169575.79
B24,B24,336436.61,4169575.79,C24,336436.65,4169595.77,C25,336456.59,4169595.33,B25,336456.57,4169575.29
B25,B25,336456.57,4169575.29,C25,336456.59,4169595.33,C26,336476.68,4169594.79,B26,336476.72,4169574.78
B26,B26,336476.72,4169574.78,C26,336476.68,4169594.79,C27,336496.77,4169594.36,B27,336496.75,4169574.35
B27,B27,336496.75,4169574.35,C27,336496.77,4169594.36,C28,336516.75,4169593.89,B28,336516.75,4169576.89
B28,B28,336516.75,4169576.89,C28,336516.75,4169593.89,C29,336536.75,4169593.89,B29,336536.75,4169576.89
C21,C21,336376.68,4169597.27,D21,336376.44,4169617.15,D22,336396.76,4169616.76,C22,336396.64,4169596.69
C22,C22,336396.64,4169596.69,D22,336396.76,4169616.76,D23,336416.83,4169616.23,C23,336416.55,4169596.22
C23,C23,336416.55,4169596.22,D23,336416.83,4169616.23,D24,336436.67,4169615.77,C24,336436.65,4169595.77
C24,C24,336436.65,4169595.77,D24,336436.67,4169615.77,D25,336456.73,4169615.4,C25,336456.59,4169595.33
C25,C25,336456.59,4169595.33,D25,336456.73,4169615.4,D26,336476.7,4169614.83,C26,336476.68,4169594.79
C26,C26,336476.68,4169594.79,D26,336476.7,4169614.83,D27,336496.74,4169614.35,C27,336496.77,4169594.36
C27,C27,336496.77,4169594.36,D27,336496.74,4169614.35,D28,336516.66,4169614.05,C28,336516.75,4169593.89
C28,C28,336516.75,4169593.89,D28,336516.66,4169614.05,D29,336536.15,4169613.46,C29,336536.75,4169593.89
D21,D21,336376.44,4169617.15,E21,336376.63,4169637.09,E22,336396.65,4169636.67,D22,336396.76,4169616.76
D22,D22,336396.76,4169616.76,E22,336396.65,4169636.67,E23,336416.7,4169636.23,D23,336416.83,4169616.23
D23,D23,336416.83,4169616.23,E23,336416.7,4169636.23,E24,336436.63,4169635.79,D24,336436.67,4169615.77
D24,D24,336436.67,4169615.77,E24,336436.63,4169635.79,E25,336456.64,4169635.31,D25,336456.73,4169615.4
D25,D25,336456.73,4169615.4,E25,336456.64,4169635.31,E26,336476.72,4169634.79,D26,336476.7,4169614.83
D26,D26,336476.7,4169614.83,E26,336476.72,4169634.79,E27,336496.74,4169634.38,D27,336496.74,4169614.35
D27,D27,336496.74,4169614.35,E27,336496.74,4169634.38,E28,336516.56,4169633.69,D28,336516.66,4169614.05
D28,D28,336516.66,4169614.05,E28,336516.56,4169633.69,E29,336536.15,4169633.46,D29,336536.15,4169613.46
E21,E21,336376.63,4169637.09,F21,336376.61,4169657.19,F22,336396.53,4169656.77,E22,336396.65,4169636.67
E22,E22,336396.65,4169636.67,F22,336396.53,4169656.77,F23,336416.75,4169656.26,E23,336416.7,4169636.23
E23,E23,336416.7,4169636.23,F23,336416.75,4169656.26,F24,336436.63,4169655.79,E24,336436.63,4169635.79
E24,E24,336436.63,4169635.79,F24,336436.63,4169655.79,F25,336456.6,4169655.33,E25,336456.64,4169635.31
E25,E25,336456.64,4169635.31,F25,336456.6,4169655.33,F26,336476.48,4169654.19,E26,336476.72,4169634.79
E26,E26,336476.72,4169634.79,F26,336476.48,4169654.19,F27,336496.7,4169654.34,E27,336496.74,4169634.38
E27,E27,336496.74,4169634.38,F27,336496.7,4169654.34,F28,336516.36,4169654.01,E28,336516.56,4169633.69
E28,E28,336516.56,4169633.69,F28,336516.36,4169654.01,F29,336536.76,4169653.42,E29,336536.15,4169633.46
E29,E29,336536.15,4169633.46,F29,336536.76,4169653.42,F30,336551.42,4169653.67,E30,336556.68,4169633
E30,E30,336556.68,4169633,F30,336551.42,4169653.67,F31,336576.71,4169652.54,E31,336576.71,4169632.54
F21,F21,336376.61,4169657.19,G21,336376.73,4169677.2,G22,336396.7,4169676.67,F22,336396.53,4169656.77
F22,F22,336396.53,4169656.77,G22,336396.7,4169676.67,G23,336416.82,4169676.3,F23,336416.75,4169656.26
F23,F23,336416.75,4169656.26,G23,336416.82,4169676.3,G24,336436.7,4169675.75,F24,336436.63,4169655.79
F24,F24,336436.63,4169655.79,G24,336436.7,4169675.75,G25,336456.71,4169675.3,F25,336456.6,4169655.33
F25,F25,336456.6,4169655.33,G25,336456.71,4169675.3,G26,336476.71,4169674.81,F26,336476.48,4169654.19
F26,F26,336476.48,4169654.19,G26,336476.71,4169674.81,G27,336496.73,4169674.36,F27,336496.7,4169654.34
F27,F27,336496.7,4169654.34,G27,336496.73,4169674.36,G28,336516.71,4169673.9,F28,336516.36,4169654.01
