"STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","FRASS","PITCH","EE","MT","CONK","NEC","FLAG","SWELL","SPRT","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","REFERENCE","DISTANCE","AZIMUTH","PLOT_X","PLOT_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","PLOT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","DATA_ENTRY_1","DATA_ENTRY_2","DATA_CHECK","CTFS_DA","UPDATED","DNA","CORED","COOKIE","EST_ESTABLISHMENT","DATABASE_HISTORY"
"01-0002","01-0002",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.35,8.12,1.1,0.57,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.36,8.16,"",NA,NA,NA,NA,336578.1,4169700.64,3061.89,"","","","UFDP","Alex Chacon","Aspen Ward","Joseph Cooper","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0002","01-0002",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.35,8.12,1.1,0.59,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.36,8.16,"",NA,NA,NA,NA,336578.1,4169700.64,3061.89,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0003","01-0003",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.33,8.16,2.5,0.96,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.34,8.2,"",NA,NA,NA,NA,336578.08,4169700.68,3061.89,"","","","UFDP","Alex Chacon","Aspen Ward","Joseph Cooper","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0003","01-0003",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.33,8.16,2.7,1.16,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.34,8.2,"",NA,NA,NA,NA,336578.08,4169700.68,3061.89,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0006","01-0006",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.47,10.36,1.7,0.82,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","N",11.48,10.4,"",NA,NA,NA,NA,336578.22,4169702.88,3060.19,"DX.DY in 2018","","","UFDP","Alex Chacon","Aspen Ward","Joseph Cooper","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0006","01-0006",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.47,10.36,2,0.99,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","N",11.48,10.4,"",NA,NA,NA,NA,336578.22,4169702.88,3060.19,"DX.DY in 2018","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0201","01-0201",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.93,15.84,0.4,0.14,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.01,16.47,"",NA,NA,NA,NA,336596.68,4169708.36,3057.9,"","","","UFDP","Joseph Cooper","Alex Chacon","Aspen Ward","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0201","01-0201",6,"2020-08-05","H31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.93,15.84,0.6,0.2,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.01,16.47,"",NA,NA,NA,NA,336596.68,4169708.36,3057.9,"","","","UFDP","Caroline Kittle","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0202","01-0202",1,"2015-07-14","H31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.32,9.2,1.1,0.37,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.58,9.75,"",NA,NA,NA,NA,336596.07,4169701.72,3057.03,"","","","UFDP","Joseph Cooper","Alex Chacon","Aspen Ward","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0202","01-0202",6,"2020-08-05","H31","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,19.32,9.2,1.3,0.39,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.58,9.75,"",NA,NA,NA,NA,336596.07,4169701.72,3057.03,"","","","UFDP","Caroline Kittle","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0217","01-0217",1,"2015-08-16","G21","PIFL",1.5,2015,1,1,"A",NA,NA,NA,NA,NA,12.92,5.22,5.2,1.86,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",7.06,5.89,"",NA,NA,NA,NA,336389.65,4169682.42,3096.47,"","","Basal D at 0.05m.","UFDP","Kendall Becker","Erika Blomdahl","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0262","01-0262",1,"2015-08-15","F21","PIED",NA,2015,1,1,"A",NA,NA,NA,NA,NA,5.44,11.39,4.4,1.1,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",5.37,12.05,"",NA,NA,NA,NA,336382.05,4169668.58,3092.36,"","","","UFDP","Erika Blomdahl","James Lutz","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0262","01-0262",6,"2020-07-15","F21","PIED",NA,2020,1,1,"A",NA,NA,NA,NA,NA,5.44,11.39,4.7,3.1,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",5.37,12.05,"",NA,NA,NA,NA,336382.05,4169668.58,3092.36,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0293","01-0293",1,"2015-08-15","F21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.15,19.2,2.9,1.15,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.03,20.3,"",NA,NA,NA,NA,336382.76,4169676.39,3094.91,"","","","UFDP","Erika Blomdahl","James Lutz","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0293","01-0293",6,"2020-07-15","F21","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.15,19.2,3.6,1.32,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.03,20.3,"",NA,NA,NA,NA,336382.76,4169676.39,3094.91,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0300","01-0300",1,"2015-08-15","F21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.12,13.23,1.1,0.38,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.04,13.96,"",NA,NA,NA,NA,336376.73,4169670.42,3092.13,"","","","UFDP","Erika Blomdahl","James Lutz","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0300","01-0300",6,"2020-07-15","F21","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,0.12,13.23,1.4,0.44,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.04,13.96,"",NA,NA,NA,NA,336376.73,4169670.42,3092.13,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0308","01-0308",1,"2015-08-15","F21","PIFL",2.2,2015,1,1,"A",NA,NA,NA,NA,NA,19.33,17.17,7.3,2.31,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.73,20.27,"",NA,NA,NA,NA,336395.94,4169674.36,3092.63,"","","Basal D measured at 0.15m.","UFDP","Erika Blomdahl","James Lutz","","","","Joseph Cooper","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0308","01-0308",6,"2020-07-15","F21","PIFL",4.1,2020,1,1,"A",NA,NA,NA,NA,NA,19.33,17.17,9.7,3.2,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.73,20.27,"",NA,NA,NA,NA,336395.94,4169674.36,3092.63,"","","Basal D measured at 0.15m.","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0326","01-0326",1,"2015-08-15","F21","PIFL",1.6,2015,1,1,"A",NA,NA,NA,NA,NA,14.53,2.24,4.9,2.16,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.4,3.01,"",NA,NA,NA,NA,336391.14,4169659.43,3085.39,"","","","UFDP","Erika Blomdahl","James Lutz","","","","Joseph Cooper","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0326","01-0326",6,"2020-07-15","F21","PIFL",1.9,2020,1,3,"A",NA,NA,NA,NA,NA,14.53,2.24,4.9,2.2,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.4,3.01,"",NA,NA,NA,NA,336391.14,4169659.43,3085.39,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0339","01-0339",1,"2015-08-15","F21","PIFL",NA,2015,0,1,"A",2019,NA,NA,NA,NA,7.55,21.06,2.4,1.34,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",7.49,10.66,"",NA,NA,NA,NA,336384.16,4169678.25,3091.84,"DX.DY in 2018","","","UFDP","Erika Blomdahl","James Lutz","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0339","01-0339",6,"2020-07-15","F21","PIFL",NA,2020,0,NA,"A",2019,NA,1,NA,NA,7.55,21.06,3.4,1.41,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",7.49,10.66,"",NA,NA,NA,NA,336384.16,4169678.25,3091.84,"DX.DY in 2018","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0346","01-0346",1,"2015-08-23","M21","PIFL",NA,2015,6,1,"A",2020,NA,NA,NA,NA,2.98,4.66,1.2,0.68,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.99,4.73,"",NA,NA,NA,NA,336379.69,4169801.8,3079.02,"","","Vigor 3 in 2019. Out of order.","UFDP","Aspen Ward","Alex Chacon","Martin Holdrege","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0346","01-0346",6,"2020-07-20","M21","PIFL",NA,2020,6,NA,"D",2020,NA,1,0.7,0,2.98,4.66,1.2,0.68,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.99,4.73,"",NA,NA,NA,NA,336379.69,4169801.8,3079.02,"","","Out of order.","UFDP","Caroline Kittle","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0356","01-0356",1,"2015-08-25","J21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,17.12,13.23,0.6,0.2,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",2.84,13.98,"",NA,NA,NA,NA,336393.87,4169750.37,3089.55,"","","","UFDP","Martin Holdrege","Martin Holdrege","Erika Blomdahl","","","Cherydan Onishi","","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0356","01-0356",6,"2020-07-20","J21","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,17.12,13.23,0.9,0.91,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",2.84,13.98,"",NA,NA,NA,NA,336393.87,4169750.37,3089.55,"","","","UFDP","Tucker Furniss","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0405","01-0405",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.07,5.26,2.2,0.87,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.07,5.42,"",NA,NA,NA,NA,336577.83,4169677.78,3057.08,"","","","UFDP","Aspen Ward","Martin Holdrege","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0405","01-0405",6,"2020-08-10","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.07,5.26,2.7,1.11,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.07,5.42,"",NA,NA,NA,NA,336577.83,4169677.78,3057.08,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0482","01-0482",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.33,10.91,0.6,0.1,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.34,11.24,"",NA,NA,NA,NA,336579.09,4169683.43,3058.15,"","","","UFDP","Aspen Ward","Martin Holdrege","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0482","01-0482",6,"2020-08-05","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.33,10.91,0.6,0.16,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.34,11.24,"",NA,NA,NA,NA,336579.09,4169683.43,3058.15,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0483","01-0483",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.24,14.58,4.2,1.15,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.25,15.02,"",NA,NA,NA,NA,336578,4169687.1,3059.07,"","","","UFDP","Aspen Ward","Martin Holdrege","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0483","01-0483",6,"2020-08-05","G31","PIFL",0.8,2020,1,1,"A",NA,NA,NA,NA,NA,1.24,14.58,5.5,1.58,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.25,15.02,"",NA,NA,NA,NA,336578,4169687.1,3059.07,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0484","01-0484",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.25,14.64,1.4,0.52,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.26,15.08,"",NA,NA,NA,NA,336578.01,4169687.16,3059.3,"","","","UFDP","Aspen Ward","Martin Holdrege","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"01-0484","01-0484",6,"2020-08-05","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.25,14.64,1.8,0.6,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.26,15.08,"",NA,NA,NA,NA,336578.01,4169687.16,3059.3,"","","","UFDP","Soren Struckman","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0654","01-0654",1,"2016-08-03","R40","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,3.12,9.03,0.4,0.08,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"","W",NA,NA,"40-0215",6.99,170,NA,NA,336759.78,4169897.6,3154.99,"","","","","James Lutz","Tucker Furniss","","","","Vincent Bennett","Meghan Graham","Tucker Furniss","A","2016-09-21",NA,NA,NA,NA,""
"01-0654","01-0654",6,"2020-07-13","R40","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,3.12,9.03,0.06,0.14,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"","W",NA,NA,"40-0215",6.99,170,NA,NA,336759.78,4169897.6,3154.99,"","","","UFDP","Sara Germain","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0658","01-0658",1,"2016-08-03","R41","PILO",NA,2016,1,1,"A",NA,NA,NA,NA,NA,19.54,15.17,2.8,1.08,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"","W",NA,NA,"41-0173",15.74,113,NA,NA,336796.19,4169903.32,3145.45,"","","","","James Lutz","Tucker Furniss","","","","Vincent Bennett","Meghan Graham","Tucker Furniss","A","2016-09-21",NA,NA,NA,NA,""
"01-0658","01-0658",6,"2020-07-12","R41","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.54,15.17,3.3,1.18,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"","W",NA,NA,"41-0173",15.74,113,NA,NA,336796.19,4169903.32,3145.45,"","","","UFDP","James Lutz","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"01-0669","01-0669",2,"2016-07-26","U31","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,5.44,15.95,0.6,0.22,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"31-0115",1.3,52,NA,NA,336582.14,4169968.47,3122.84,"",NA,"",NA,"Kendall Becker","","","","","Michael Gudmundson",NA,"Tucker Furniss","A","2016-09-18",NA,NA,NA,NA,""
"01-0669","01-0669",6,"2020-08-10","U31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,5.44,15.95,0.6,0.24,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"31-0115",1.3,52,NA,NA,336582.14,4169968.47,3122.84,"","","","UFDP","Caroline Kittle","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0001","02-0001",1,"2015-07-12","H32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,12.71,13.75,1.3,0.21,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",7.44,15.18,"",NA,NA,NA,NA,336609.31,4169705.84,3049.7,"","","Out of order.","UFDP","Alex Chacon","Joseph Cooper","Aspen Ward","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0001","02-0001",6,"2020-08-04","H32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,12.71,13.75,1.8,0.35,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",7.44,15.18,"",NA,NA,NA,NA,336609.31,4169705.84,3049.7,"","","Out of order.","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
