"SAMPLE_NUM","SAMPLE_ID","QUADRAT","TYPE","UTM_X","UTM_Y","DESCRIPTION","FIELD_COMMENTS","SURVEY_YEAR","BOTTLE&KCL","BOTTLE&KCL&SOIL","EMPTY_PAN","FRESH_SOIL","DRY_SOIL&PAN","DRY_SOIL","DRY_WT","DRY_SOIL_IN_KCL","SOLUTION_VOL","NH4_mg_N_per_L","NO3_mg_N_per_L","pH_water","pH_CaCl2","pH_BaCl2","BrayP_mg_per_kg","NH4_mgN_per_kg","NO3_mgN_per_kg","Inorg_N_mgN_per_kg","Al_mg_per_kg","Ca_mg_per_kg","Fe_mg_per_kg","K_mg_per_kg","Mg_mg_per_kg","Mn_mg_per_kg","Na_mg_per_kg","Al_cmolc_per_kg","Ca_cmolc_per_kg","Fe_cmolc_per_kg","K_cmolc_per_kg","Mg_cmolc_per_kg","Mn_cmolc_per_kg","Na_cmolc_per_kg","TEB_cmolc_per_kg","ECEC_cmolc_per_kg","Base_sat_percent","Al_sat_percent","Ca_to_Mg_ratio"
"1","CB001","F22","base","336396.53","4169656.77","base pt plus extra 20 m S",,"2017-09-01","75.82","84.82","1.75","23.66","20.61","18.86","0.80","7.17","54.80","0.36","0.00","6.58","5.96","5.38","5.1390","1.3406","0.1388","1.4793","3.8540","6291.58","2.3888","292.84","733.34","68.4059","46.4145","0.0429","31.3951","0.0128","0.7490","6.0333","0.2490","0.2019","38.379","38.684","99.212","0.111","5.204"
"2","CB002","F22","extr","336396.88","4169636.42","extra 20 m S","0.5 m SE","2017-09-01","75.95","92.87","1.28","24.06","19.79","18.51","0.77","13.02","55.55","0.26","0.02","6.33","5.59","5.17","10.9430","0.2966","0.1564","0.4530","2.2283","4131.15","1.4477","288.65","431.82","43.0780","19.3491","0.0248","20.6145","0.0078","0.7382","3.5526","0.1568","0.0842","24.990","25.179","99.248","0.098","5.803"
"3","CB003","H22","base","336395.76","4169696.76","base point only","1 m W","2017-09-01","75.82","87.17","1.74","22.48","19.56","17.82","0.79","9.00","54.66","0.31","-0.04","6.05","5.40","5.06","5.9769","0.7624","0.0500","0.8124","5.5718","6070.70","3.6200","167.17","575.60","65.3993","23.4700","0.0620","30.2929","0.0195","0.4276","4.7355","0.2381","0.1021","35.558","35.878","99.109","0.173","6.397"
"4","CB004","J22","base","336396.73","4169736.45","base pt plus extra 20 m N",,"2017-09-01","76.07","85.02","1.52","15.53","13.63","12.11","0.78","6.98","53.42","0.33","-0.02","6.00","5.07","4.81","6.0134","1.1061","0.0500","1.1561","9.2040","4836.14","6.6613","164.84","473.39","30.7842","24.1961","0.1023","24.1324","0.0358","0.4216","3.8946","0.1121","0.1052","28.554","28.804","99.131","0.355","6.196"
"5","CB005","J22","extr","336395.32","4169757.86","extra 20 m N","2 m NW","2017-09-01","75.70","92.51","1.87","25.70","21.53","19.66","0.76","12.86","56.04","0.47","-0.01","6.70","5.72","5.61","3.8454","1.2268","0.0529","1.2796","1.6083","3820.17","1.1683","150.99","281.00","20.3848","16.5142","0.0179","19.0627","0.0063","0.3862","2.3118","0.0742","0.0718","21.833","21.931","99.552","0.082","8.246"
"6","CB006","L22","base","336396.61","4169776.64","base point only",,"2017-09-01","75.85","89.42","1.97","17.08","15.07","13.10","0.77","10.41","53.98","0.64","-0.03","5.52","4.75","4.44","14.8327","2.3365","0.0500","2.3865","39.6217","2291.57","8.8786","193.13","245.81","38.9907","20.1548","0.4406","11.4350","0.0477","0.4939","2.0223","0.1419","0.0877","14.039","14.669","95.704","3.003","5.654"
"7","CB007","N22","base","336399.45","4169819.49","base pt plus extra 2 m SW","4 m NE","2017-09-01","75.96","90.04","1.70","18.14","15.33","13.63","0.75","10.58","54.51","0.78","-0.02","7.07","6.28","6.18","8.7999","3.0425","0.0500","3.0925","1.3935","2968.40","2.2302","306.14","246.92","10.9330","17.3953","0.0155","14.8124","0.0120","0.7830","2.0315","0.0398","0.0757","17.702","17.770","99.621","0.087","7.292"
"8","CB008","N22","extr","336395.22","4169815.26","extra 2 m SW",,"2017-09-01","76.20","90.80","1.60","22.50","19.62","18.02","0.80","11.69","54.48","1.31","-0.03","7.02","6.08","5.84","12.1044","5.2393","0.0500","5.2893","5.9413","2415.40","1.2389","303.83","190.41","48.5253","19.4079","0.0661","12.0529","0.0067","0.7771","1.5665","0.1766","0.0844","14.481","14.730","98.307","0.448","7.694"
"9","CB009","P22","base","336394.35","4169859.16","base point only","3.5 m NW","2017-09-01","76.02","95.69","1.68","28.66","22.03","20.35","0.71","13.97","58.31","0.96","0.03","6.39","5.43","5.20","24.3286","3.2168","0.2198","3.4366","2.8223","3306.45","1.7819","146.97","181.17","41.5456","17.4429","0.0314","16.4992","0.0096","0.3759","1.4905","0.1512","0.0759","18.441","18.634","98.969","0.168","11.070"
"10","CB010","R22","base","336397.38","4169897.35","base pt plus extra 8 m NE","1 m NE","2017-09-01","76.15","87.60","1.48","21.58","16.82","15.34","0.71","8.14","56.24","0.93","-0.02","7.55","6.74","7.05","14.7832","5.1236","0.0500","5.1736","2.4096","5320.44","1.0415","380.76","291.17","1.7453","13.4382","0.0268","26.5491","0.0056","0.9738","2.3955","0.0064","0.0585","29.977","30.016","99.871","0.089","11.083"
